nom_standard,nom_sans_pronom,nom_sans_accent,nom_standard_majuscule,reg_nom
L'Abergement-Clémenciat,Abergement-Clémenciat,l-abergement-clemenciat,L'ABERGEMENT-CLÉMENCIAT,Auvergne-Rhône-Alpes
L'Abergement-de-Varey,Abergement-de-Varey,l-abergement-de-varey,L'ABERGEMENT-DE-VAREY,Auvergne-Rhône-Alpes
Ambérieu-en-Bugey,Ambérieu-en-Bugey,amberieu-en-bugey,AMBÉRIEU-EN-BUGEY,Auvergne-Rhône-Alpes
Ambérieux-en-Dombes,Ambérieux-en-Dombes,amberieux-en-dombes,AMBÉRIEUX-EN-DOMBES,Auvergne-Rhône-Alpes
Ambléon,Ambléon,ambleon,AMBLÉON,Auvergne-Rhône-Alpes
Ambronay,Ambronay,ambronay,AMBRONAY,Auvergne-Rhône-Alpes
Ambutrix,Ambutrix,ambutrix,AMBUTRIX,Auvergne-Rhône-Alpes
Andert-et-Condon,Andert-et-Condon,andert-et-condon,ANDERT-ET-CONDON,Auvergne-Rhône-Alpes
Anglefort,Anglefort,anglefort,ANGLEFORT,Auvergne-Rhône-Alpes
Apremont,Apremont,apremont,APREMONT,Auvergne-Rhône-Alpes
Aranc,Aranc,aranc,ARANC,Auvergne-Rhône-Alpes
Arandas,Arandas,arandas,ARANDAS,Auvergne-Rhône-Alpes
Arbent,Arbent,arbent,ARBENT,Auvergne-Rhône-Alpes
Arboys en Bugey,Arboys en Bugey,arboys-en-bugey,ARBOYS EN BUGEY,Auvergne-Rhône-Alpes
Arbigny,Arbigny,arbigny,ARBIGNY,Auvergne-Rhône-Alpes
Argis,Argis,argis,ARGIS,Auvergne-Rhône-Alpes
Armix,Armix,armix,ARMIX,Auvergne-Rhône-Alpes
Ars-sur-Formans,Ars-sur-Formans,ars-sur-formans,ARS-SUR-FORMANS,Auvergne-Rhône-Alpes
Artemare,Artemare,artemare,ARTEMARE,Auvergne-Rhône-Alpes
Asnières-sur-Saône,Asnières-sur-Saône,asnieres-sur-saone,ASNIÈRES-SUR-SAÔNE,Auvergne-Rhône-Alpes
Attignat,Attignat,attignat,ATTIGNAT,Auvergne-Rhône-Alpes
Bâgé-Dommartin,Bâgé-Dommartin,bage-dommartin,BÂGÉ-DOMMARTIN,Auvergne-Rhône-Alpes
Bâgé-le-Châtel,Bâgé-le-Châtel,bage-le-chatel,BÂGÉ-LE-CHÂTEL,Auvergne-Rhône-Alpes
Balan,Balan,balan,BALAN,Auvergne-Rhône-Alpes
Baneins,Baneins,baneins,BANEINS,Auvergne-Rhône-Alpes
Beaupont,Beaupont,beaupont,BEAUPONT,Auvergne-Rhône-Alpes
Beauregard,Beauregard,beauregard,BEAUREGARD,Auvergne-Rhône-Alpes
Bellignat,Bellignat,bellignat,BELLIGNAT,Auvergne-Rhône-Alpes
Béligneux,Béligneux,beligneux,BÉLIGNEUX,Auvergne-Rhône-Alpes
Valserhône,Valserhône,valserhone,VALSERHÔNE,Auvergne-Rhône-Alpes
Belley,Belley,belley,BELLEY,Auvergne-Rhône-Alpes
Belleydoux,Belleydoux,belleydoux,BELLEYDOUX,Auvergne-Rhône-Alpes
Valromey-sur-Séran,Valromey-sur-Séran,valromey-sur-seran,VALROMEY-SUR-SÉRAN,Auvergne-Rhône-Alpes
Bénonces,Bénonces,benonces,BÉNONCES,Auvergne-Rhône-Alpes
Bény,Bény,beny,BÉNY,Auvergne-Rhône-Alpes
